TOKEN:	TOKEN_405093767
0	10	Created	0
244.84710001945	1	Received	0
481.41190004349	8	Received	0
1193.4983000755	5	Received	0
1866.0473999977	12	Received	0
2629.90989995	5	Received	0
3306.1268999577	7	Received	0
3900.8099000454	6	Received	0
4307.7144999504	5	Received	0
4621.23939991	4	Received	0
5634.632600069	10	Received	0
6289.1317999363	4	Received	0
6539.9042000771	10	Received	0
7778.9888000488	8	Received	0
8246.9937999249	7	Received	0
8871.6637001038	4	Received	0
9080.0927000046	1	Received	0
9860.6758000851	12	Received	0
10165.056099892	10	Received	0
10440.01060009	4	Received	0
10688.74729991	13	Received	0
12457.590800047	7	Received	0
13037.373600006	11	Received	0


TOKEN:	TOKEN_786031959
0	11	Created	0
1383.1521999836	6	Received	0
1928.0153000355	10	Received	0
2522.3222999573	7	Received	0
3000.761300087	6	Received	0
3306.3805000782	11	Received	0
3839.4755001068	10	Received	0
4399.2843000889	7	Received	0
4661.9040000439	15	Received	0
5153.6605000496	20	Received	0
5381.0037999153	15	Received	0
5951.6192998886	23	Received	0
6954.4904999733	22	Received	0
9908.032900095	17	Received	0
11420.449800014	5	Received	0
12489.437599897	6	Received	0
12718.424799919	22	Received	0
13347.631700039	21	Received	0
13589.531300068	17	Received	0
13863.206899881	9	Received	0


TOKEN:	TOKEN_159582684
0	4	Created	0
1856.5183999538	2	Received	0
2640.8726000786	11	Received	12
3234.4800999165	13	Received	12
3435.7325999737	12	Received	12
4003.2725000381	9	Received	12
4670.5376000404	5	Received	12
4979.476099968	13	Received	12
5899.6052999496	7	Received	12
6886.9493000507	8	Received	12
7616.2960000038	23	Received	12
8739.3052999973	14	Received	12
9394.0587999821	18	Received	12
11316.508500099	15	Received	12
11652.25909996	16	Received	12
13933.792299986	14	Received	12


TOKEN:	TOKEN_718479195
0	13	Created	0
1564.1607000828	17	Received	0
2100.035599947	22	Received	0
3526.2111999989	15	Received	0
4307.3766000271	19	Received	0
5005.4402000904	14	Received	0
5449.2704999447	3	Received	0
6144.1120998859	14	Received	0
6416.1287999153	19	Received	0
7206.7781000137	17	Received	0
9820.1210000515	15	Received	0
10912.829200029	20	Received	0
11369.673000097	21	Received	0
13310.642800093	19	Received	0
14054.078399897	10	Received	0


TOKEN:	TOKEN_1069562896
0	12	Created	0
540.8218998909	2	Received	0
785.31150007248	22	Received	2
1689.3329000473	14	Received	2
1907.4221000671	15	Received	2
2655.7279999256	14	Received	2
3345.2523999214	3	Received	2
5396.9347999096	20	Received	1
6308.4872000217	21	Received	1
9484.0885999203	20	Received	1
10621.106899977	19	Received	1
12532.134299994	15	Received	1
12771.245800018	23	Received	1
14066.432800055	16	Received	1


TOKEN:	TOKEN_195046430
4	20	Created	0
